label,0,1,2,3,4,mean,std,support,tier,null_band_2sigma
Uploading_Attack,0.02127659574468085,0.07446808510638298,0.0,0.0,0.0,0.019148936170212766,0.028860978651596883,188,floored,0.0577
Recon-PingSweep,0.0,0.0029411764705882353,0.0029411764705882353,0.0029411764705882353,0.0,0.0017647058823529412,0.0014408763192842223,340,floored,0.0029
Backdoor_Malware,0.004140786749482402,0.037267080745341616,0.0,0.022774327122153208,0.006211180124223602,0.014078674948240163,0.013944064795430837,483,floored,0.0279
XSS,0.02772963604852686,0.03119584055459272,0.0034662045060658577,0.01386481802426343,0.0034662045060658577,0.015944540727902946,0.011723767435208154,577,floored,0.0234
SqlInjection,0.04701397712833545,0.06861499364675985,0.052096569250317665,0.05590851334180432,0.03939008894536213,0.052604828462515886,0.009730210784791183,787,floored,0.0195
CommandInjection,0.0630407911001236,0.018541409147095178,0.09147095179233622,0.049443757725587144,0.03337453646477132,0.0511742892459827,0.025097273479773512,809,floored,0.0502
BrowserHijacking,0.019562715765247412,0.01611047180667434,0.00805523590333717,0.0034522439585730723,0.00805523590333717,0.011047180667433832,0.005894705857245431,869,floored,0.0118
DictionaryBruteForce,0.32755102040816325,0.4433673469387755,0.42551020408163265,0.38979591836734695,0.3943877551020408,0.3961224489795918,0.03959998864109488,1960,measurable,0.0792
DDoS-SlowLoris,0.954183266932271,0.9558907228229937,0.933693796243597,0.9257256687535572,0.9299943084803642,0.9398975526465566,0.012627480006277421,3514,robust,0.0253
DDoS-HTTP_Flood,0.7960175966658949,0.8298217179902755,0.7865246584857606,0.8740449178050474,0.8589951377633711,0.82908080574207,0.03412151534902205,4319,measurable,0.0682
DoS-HTTP_Flood,0.8669215704560291,0.8751282290403805,0.8672946003916814,0.8369859181199292,0.8276601697286208,0.8547980975473284,0.018815930949485114,10723,measurable,0.0376
Recon-PortScan,0.2467392207360638,0.20121292680900557,0.20470216831436405,0.1693112901885852,0.2305391708897566,0.21050095538755506,0.026575266251087633,12037,measurable,0.0532
Recon-OSScan,0.11454231433506044,0.1805181347150259,0.10473229706390329,0.19488773747841107,0.10417962003454231,0.13977202072538858,0.039570512617880235,14475,measurable,0.0791
DDoS-ICMP_Flood,0.997904339250493,0.997904339250493,0.997904339250493,0.997904339250493,0.997965976331361,0.9979166666666666,2.4654832347170694e-05,16224,robust,0.0
DDoS-RSTFINFlood,0.9991676080623105,0.9991081514953326,0.9991676080623105,0.9992865211962662,0.9990486949283548,0.999155716748915,7.887804959525763e-05,16819,robust,0.0002
DDoS-TCP_Flood,0.6484739049394221,0.5966915191053123,0.41816169617893756,0.40511416589002797,0.3466332712022367,0.4830149114631874,0.11762097358976166,17168,measurable,0.2352
DDoS-SynonymousIP_Flood,0.34167970787689095,0.7046890395873181,0.7931953863096273,0.1766069669043065,0.6704341273981337,0.5373210456152553,0.23647113810615136,17253,measurable,0.4729
DDoS-UDP_Flood,0.7421512270616847,0.6878178200309529,0.6774817598938757,0.8059363254477117,0.7373424718107451,0.730145920848994,0.045837288576467364,18092,measurable,0.0917
DoS-TCP_Flood,0.41158733577428386,0.5335989661856558,0.7090781822097781,0.8012599612319621,0.8430971354727547,0.6597243161748869,0.1634461983184657,18572,measurable,0.3269
DDoS-PSHACK_Flood,0.9983433423068958,0.9982915717539863,0.9979291778836198,0.9976185545661628,0.9980327189894388,0.9980430731000206,0.00026275786996166674,19316,robust,0.0005
DDoS-SYN_Flood,0.5225642330195879,0.19389468328669549,0.15248028491477997,0.6776901551767998,0.10658865428644111,0.33064360213686084,0.22712018518918406,19655,measurable,0.4542
Recon-HostDiscovery,0.7047428856714928,0.7121817274088866,0.6693959061407888,0.7236645032451323,0.7976035946080878,0.7215177234148775,0.04214002443654639,20030,measurable,0.0843
DoS-SYN_Flood,0.16439051397988372,0.19641044569530314,0.20711451508720125,0.15387099750853558,0.2365968441450586,0.19167666328319646,0.029840780557411795,21674,measurable,0.0597
DoS-UDP_Flood,0.6823112784651246,0.7169625246548323,0.7223865877712031,0.5988434642280797,0.6834767796306258,0.6807961269499732,0.04418935451980465,22308,measurable,0.0884
DNS_Spoofing,0.612758792239103,0.5719643335501894,0.4980674294898779,0.6002449198270253,0.5514522980368145,0.566897554628602,0.04053915195778683,26131,measurable,0.0811
MITM-ArpSpoofing,0.12505002728761141,0.08582863380025468,0.12555939603420047,0.1059486992905221,0.08848462797889758,0.10617427687829724,0.017082134257138535,27485,measurable,0.0342
Mirai-udpplain,0.9874220374220374,0.9916493416493416,0.987941787941788,0.9876299376299377,0.9862092862092862,0.9881704781704782,0.001835941821725661,28860,robust,0.0037
Mirai-greeth_flood,0.9728399253097946,0.9844848073332202,0.9647258529960957,0.9802410456628756,0.9708368698013919,0.9746257002206755,0.0069897825508424445,29455,robust,0.014
Mirai-greip_flood,0.9839167455061495,0.9848966076496823,0.9760440600081092,0.9828355183132855,0.9813488309230978,0.9818083524800649,0.0031137096382806736,29596,robust,0.0062
DDoS-UDP_Fragmentation,0.9898242677824268,0.990928870292887,0.9889874476987448,0.9902928870292887,0.990694560669456,0.9901456066945606,0.0006900919915568872,29875,robust,0.0014
DDoS-ACK_Fragmentation,0.9651481704461837,0.8943407585791692,0.9753495217071376,0.8565121412803532,0.9407318215265235,0.9264164827078734,0.044754852016402176,29898,robust,0.0895
VulnerabilityScan,0.6740220661985958,0.7219993313273153,0.5956201939150786,0.6292544299565362,0.7,0.6641792042795052,0.04613730853071616,29910,measurable,0.0923
DDoS-ICMP_Fragmentation,0.9721331194867683,0.9700614808874632,0.9684576316492917,0.9692595562683775,0.9705292702485966,0.9700882117080993,0.001242767569752294,29928,robust,0.0025
BenignTraffic,0.6791022343943088,0.7721184997161084,0.7194482482215023,0.7305033232022978,0.6677465682508934,0.7137837747570221,0.037514805932363324,29941,measurable,0.075
